0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",,,,,,,,,,,,,,,,,,
See the book for description of data.,,,,"Update Nominal Home Price Index, Click Additional Information, National Index: https://www.spglobal.com/spdji/en/indices/indicators/sp-corelogic-case-shiller-us-national-home-price-nsa-index/#data",,,,,,,,,,,,,,
"Monthly data from January 1953 for prices, all other data are annual.",,,,,,,,Nominal,,,,,,,,,,
,Real,,Real,,,,,Home,,,Nominal,,,Consumer,,,,
,Home,,Building,U.S.,,,,Price,HPI,,Building,,,Price,CPI Annual&,,,
,Price,,Cost,Population,,Long Rate,,Index,Source ,,Cost,Build Cost,,Index,Quarterly,,,CPI
Date,Index,Date,Index,Millions,Long Rate,Source,Date,From fig2.1Revised2011.xls,,Date,Index,Source,Date,,Source,,Date,Annual
1920,66.07414907003694,1920,40.27179996980633,106.541,4.97,Homer,1920,5.9597772439280075,Grebler,1920,,ENR,1920,19.3,BLS,,1920,19.3
1921,65.61430847947112,1921,32.80518503515523,108.538,5.09,Homer,1921,5.826306088513846,Grebler,1921,,ENR,1921,19,BLS,,1921,19
1922,74.79619714101761,1922,34.437609584562686,110.049,4.3,Homer,1922,5.907549400505074,Grebler,1922,,ENR,1922,16.9,BLS,,1922,16.9
1923,76.35007781532083,1923,41.571114427079245,111.947,4.36,Homer,1923,5.994595806209962,Grebler,1923,,ENR,1923,16.8,BLS,,1923,16.8
1924,74.28697788319552,1924,40.36963713149891,114.109,4.06,Homer,1924,6.006201993637281,Grebler,1924,,ENR,1924,17.3,BLS,,1924,17.3
1925,78.16282020753616,1925,39.71851395195861,115.829,3.86,Homer,1925,6.319569054174878,Grebler,1925,,ENR,1925,17.3,BLS,,1925,17.3
1926,72.4906015524438,1926,38.806698996624704,117.397,3.68,Homer,1926,6.064232930773873,Grebler,1926,,ENR,1926,17.9,BLS,,1926,17.9
1927,71.38030121096247,1927,39.908269849996074,119.035,3.34,Homer,1927,5.8379122759411635,Grebler,1927,,ENR,1927,17.5,BLS,,1927,17.5
1928,73.28212987318126,1928,40.803719251192454,120.509,3.33,Homer,1928,5.924958681646052,Grebler,1928,,ENR,1928,17.3,BLS,,1928,17.3
1929,72.61432987989278,1929,41.93969438898694,121.878,3.6,Homer,1929,5.803093713659209,Grebler,1929,,ENR,1929,17.1,BLS,,1929,17.1
1930,69.49191369505738,1930,40.62221707833813,123.188,3.29,Homer,1930,5.553560683971863,Grebler,1930,,ENR,1930,17.1,BLS,,1930,17.1
1931,68.64520320702393,1931,39.67346769425457,124.149,3.34,Homer,1931,5.100919374306445,Grebler,1931,,ENR,1931,15.9,BLS,,1931,15.9
1932,68.3371935122121,1932,34.39721356158959,124.949,3.68,Homer,1932,4.567034752649797,Grebler,1932,,ENR,1932,14.3,BLS,,1932,14.3
1933,72.86594697645334,1933,43.078444157493465,125.69,3.31,Homer,1933,4.3929419412400215,Grebler,1933,,ENR,1933,12.9,BLS,,1933,12.9
1934,73.27941112856544,1934,47.50403984873474,126.485,3.12,Homer,1934,4.520610002940524,Five-CityMedian,1934,,ENR,1934,13.2,BLS,,1934,13.2
1935,78.06999902861963,1935,45.83077321087864,127.362,2.79,Homer,1935,4.9620852592390055,Five-CityMedian,1935,,ENR,1935,13.6,BLS,,1935,13.6
1936,79.41489504934907,1936,46.79908533913362,128.181,2.65,Homer,1936,5.121795007574859,Five-CityMedian,1936,,ENR,1936,13.8,BLS,,1936,13.8
1937,79.71761780681189,1937,52.19452664740583,128.961,2.68,Homer,1937,5.253086651224617,Five-CityMedian,1937,,ENR,1937,14.1,BLS,,1937,14.1
1938,78.46465293653384,1938,52.09138282139235,129.969,2.56,Homer,1938,5.207191412156574,Five-CityMedian,1938,,ENR,1938,14.2,BLS,,1938,14.2
1939,78.54968493492916,1939,52.83554543312652,131.028,2.36,Homer,1939,5.139414232480237,Five-CityMedian,1939,,ENR,1939,14,BLS,,1939,14
1940,81.73080632803105,1940,54.836438710493944,132.122,2.21,Homer,1940,5.309354498503084,Five-CityMedian,1940,,ENR,1940,13.9,BLS,,1940,13.9
1941,73.81588342928296,1941,56.18900572756444,133.402,1.95,Homer,1941,4.8641848885954095,Five-CityMedian,1941,,ENR,1941,14.1,BLS,,1941,14.1
1942,68.50282682878371,1942,53.09349646162413,134.86,2.46,Homer,1942,5.026310175829581,Five-CityMedian,1942,,ENR,1942,15.7,BLS,,1942,15.7
1943,70.92297420081694,1943,50.87879093461198,136.739,2.47,Homer,1943,5.601634705199569,Five-CityMedian,1943,,ENR,1943,16.9,BLS,,1943,16.9
1944,80.30899578637265,1944,50.71151889695614,138.397,2.48,Homer,1944,6.530622547388007,Five-CityMedian,1944,,ENR,1944,17.4,BLS,,1944,17.4
1945,87.75004612093748,1945,50.41571180609175,139.928,2.37,Homer,1945,7.2997585507171605,Five-CityMedian,1945,,ENR,1945,17.8,BLS,,1945,17.8
1946,106.50589550863114,1946,54.05276416821222,141.389,2.19,Homer,1946,9.059123411833289,Five-CityMedian,1946,,ENR,1946,18.2,BLS,,1946,18.2
1947,109.32967071418366,1947,54.663052789035625,144.126,2.25,Homer,1947,10.98544463798022,Five-CityMedian,1947,,ENR,1947,21.5,BLS,,1947,21.5
1948,101.22257950824536,1948,54.024908200592435,146.631,2.44,Homer,1948,11.21158170601982,Five-CityMedian,1948,,ENR,1948,23.7,BLS,,1948,23.7
1949,100.04660762637593,1949,55.07055158512002,149.188,2.31,Homer,1949,11.221599087921668,Five-CityMedian,1949,,ENR,1949,24,BLS,,1949,24
1950,105.89483934250828,1950,59.91718620237915,151.684,2.32,Homer,1950,11.630109342784282,Five-CityMedian,1950,,ENR,1950,23.5,BLS,,1950,23.5
1951,103.89866872416337,1951,59.278698601377414,154.287,2.57,Homer,1951,12.333457433765126,Five-CityMedian,1951,,ENR,1951,25.4,BLS,,1951,25.4
1952,103.97432747997286,1952,58.94343771717821,156.954,2.68,Homer,1952,12.876953685886688,Five-CityMedian,1952,,ENR,1952,26.5,BLS,,1952,26.5
1953.0416666666667,114.71330928920199,1953,60.839220095318,159.565,2.83,Homer,1953.0416666666667,14.260560157790927,PHCPI,1953,,ENR,1953.0416666666667,26.6,BLS,,1953,26.6
1953.125,115.14618970161406,1954,62.254476192033295,162.391,2.48,Fed. Res.,1953.125,14.260560157790927,PHCPI,1954,,ENR,1953.125,26.5,BLS,,1954,26.9
1953.2083333333333,114.71330928920199,1955,65.95528266961516,165.275,2.61,Fed. Res.,1953.2083333333333,14.260560157790927,PHCPI,1955,,ENR,1953.2083333333333,26.6,BLS,,1955,26.7
1953.2916666666665,114.97977458371813,1956,68.79148786031361,168.221,2.9,Fed. Res.,1953.2916666666665,14.293685733070348,PHCPI,1956,,ENR,1953.2916666666665,26.6,BLS,,1956,26.8
1953.3749999999998,114.68187237243323,1957,69.24632103959016,171.274,3.46,Fed. Res.,1953.3749999999998,14.31024852071006,PHCPI,1957,,ENR,1953.3749999999998,26.7,BLS,,1957,27.6
1953.458333333333,114.25395493820773,1958,68.92571419784174,174.141,3.09,Fed. Res.,1953.458333333333,14.31024852071006,PHCPI,1958,,ENR,1953.458333333333,26.8,BLS,,1958,28.6
1953.5416666666663,114.51843168574987,1959,70.95296771625183,177.13,4.02,Fed. Res.,1953.5416666666663,14.34337409598948,PHCPI,1959,,ENR,1953.5416666666663,26.8,BLS,,1959,29
1953.6249999999995,114.2244593901547,1960,71.6361425754315,180.76,4.72,Fed. Res.,1953.6249999999995,14.359936883629192,PHCPI,1960,,ENR,1953.6249999999995,26.9,BLS,,1960,29.3
1953.7083333333328,114.35620617145823,1961,71.5681969959156,183.742,3.84,Fed. Res.,1953.7083333333328,14.3764996712689,PHCPI,1961,,ENR,1953.7083333333328,26.9,BLS,,1961,29.8
1953.791666666666,113.93266466711948,1962,72.59299981674913,186.59,4.08,Fed. Res.,1953.791666666666,14.3764996712689,PHCPI,1962,,ENR,1953.791666666666,27,BLS,,1962,30
1953.8749999999993,114.2244593901547,1963,73.3670177367553,189.3,3.83,Fed. Res.,1953.8749999999993,14.359936883629192,PHCPI,1963,,ENR,1953.8749999999993,26.9,BLS,,1963,30.4
1953.9583333333326,114.2244593901547,1964,74.3671173214772,191.927,4.17,Fed. Res.,1953.9583333333326,14.359936883629192,PHCPI,1964,,ENR,1953.9583333333326,26.9,BLS,,1964,30.9
1954.0416666666658,114.2244593901547,1965,75.45724616230389,194.347,4.19,Fed. Res.,1954.0416666666658,14.359936883629192,PHCPI,1965,,ENR,1954.0416666666658,26.9,BLS,,1965,31.2
1954.124999999999,114.35620617145823,1966,76.74926786090913,196.599,4.61,Fed. Res.,1954.124999999999,14.3764996712689,PHCPI,1966,,ENR,1954.124999999999,26.9,BLS,,1966,31.8
1954.2083333333323,114.35620617145823,1967,77.15051023392057,198.752,4.58,Fed. Res.,1954.2083333333323,14.3764996712689,PHCPI,1967,,ENR,1954.2083333333323,26.9,BLS,,1967,32.9
1954.2916666666656,114.65067005952096,1968,79.39056456852481,200.745,5.53,Fed. Res.,1954.2916666666656,14.359936883629192,PHCPI,1968,,ENR,1954.2916666666656,26.8,BLS,,1968,34.1
1954.3749999999989,114.2244593901547,1969,83.3230383406119,202.736,6.04,Fed. Res.,1954.3749999999989,14.359936883629192,PHCPI,1969,,ENR,1954.3749999999989,26.9,BLS,,1969,35.6
1954.4583333333321,114.35620617145823,1970,83.04289524740322,205.089,7.79,Fed. Res.,1954.4583333333321,14.3764996712689,PHCPI,1970,,ENR,1954.4583333333321,26.9,BLS,,1970,37.8
1954.5416666666654,114.75144651536878,1971,89.4361858771593,207.692,6.24,Fed. Res.,1954.5416666666654,14.426188034188034,PHCPI,1971,,ENR,1954.5416666666654,26.9,BLS,,1971,39.8
1954.6249999999986,115.01494007797584,1972,95.74309565561677,209.924,5.95,Fed. Res.,1954.6249999999986,14.459313609467454,PHCPI,1972,,ENR,1954.6249999999986,26.9,BLS,,1972,41.1
1954.708333333332,115.70857704968955,1973,100.30455778467764,211.939,6.46,Fed. Res.,1954.708333333332,14.492439184746878,PHCPI,1973,,ENR,1954.708333333332,26.8,BLS,,1973,42.6
1954.7916666666652,115.57633867591846,1974,97.0932715471171,213.898,6.99,Fed. Res.,1954.7916666666652,14.475876397107166,PHCPI,1974,,ENR,1954.7916666666652,26.8,BLS,,1974,46.6
1954.8749999999984,115.57633867591846,1975,94.12250092065096,215.981,7.5,Fed. Res.,1954.8749999999984,14.475876397107166,PHCPI,1975,,ENR,1954.8749999999984,26.8,BLS,,1975,52.1
1954.9583333333317,116.14194250680451,1976,96.23389798331759,218.086,7.74,Fed. Res.,1954.9583333333317,14.492439184746878,PHCPI,1976,,ENR,1954.9583333333317,26.7,BLS,,1976,55.6
1955.041666666665,116.27467615538369,1977,99.16550372845039,220.289,7.21,Fed. Res.,1955.041666666665,14.509001972386587,PHCPI,1977,,ENR,1955.041666666665,26.7,BLS,,1977,58.5
1955.1249999999982,115.87647520964606,1978,100.56884002199011,222.629,7.96,Fed. Res.,1955.1249999999982,14.459313609467454,PHCPI,1978,,ENR,1955.1249999999982,26.7,BLS,,1978,62.5
1955.2083333333314,115.61100791248765,1979,100,225.106,9.1,Fed. Res.,1955.2083333333314,14.426188034188034,PHCPI,1979,,ENR,1955.2083333333314,26.7,BLS,,1979,68.3
1955.2916666666647,114.94733966959164,1980,93.67720900915924,227.726,10.8,Fed. Res.,1955.2916666666647,14.34337409598948,PHCPI,1980,,ENR,1955.2916666666647,26.7,BLS,,1980,77.8
1955.374999999998,114.94733966959164,1981,90.50387670375918,230.008,12.57,Fed. Res.,1955.374999999998,14.34337409598948,PHCPI,1981,,ENR,1955.374999999998,26.7,BLS,,1981,87
1955.4583333333312,115.47827426390846,1982,88.95277082894881,232.218,14.59,Fed. Res.,1955.4583333333312,14.409625246548325,PHCPI,1982,,ENR,1955.4583333333312,26.7,BLS,,1982,94.3
1955.5416666666645,115.44410030214738,1983,91.52830101709854,234.333,10.46,Fed. Res.,1955.5416666666645,14.459313609467454,PHCPI,1983,,ENR,1955.5416666666645,26.8,BLS,,1983,97.8
1955.6249999999977,116.10529217100276,1984,89.06159549105747,236.394,11.67,Fed. Res.,1955.6249999999977,14.54212754766601,PHCPI,1984,,ENR,1955.6249999999977,26.8,BLS,,1984,101.9
1955.708333333331,115.93716754710051,1985,86.30725178409052,238.506,11.38,Fed. Res.,1955.708333333331,14.575253122945432,PHCPI,1985,,ENR,1955.708333333331,26.9,BLS,,1985,105.5
1955.7916666666642,115.805420765797,1986,85.06563925795437,240.683,9.19,Fed. Res.,1955.7916666666642,14.558690335305721,PHCPI,1986,,ENR,1955.7916666666642,26.9,BLS,,1986,109.6
1955.8749999999975,115.54192720318994,1987,85.8001174651263,242.843,7.08,Fed. Res.,1955.8749999999975,14.525564760026299,PHCPI,1987,,ENR,1955.8749999999975,26.9,BLS,,1987,111.2
1955.9583333333308,115.70857704968955,1988,84.31285437542735,245.061,8.67,Fed. Res.,1955.9583333333308,14.492439184746878,PHCPI,1988,,ENR,1955.9583333333308,26.8,BLS,,1988,115.7
1956.041666666664,115.44410030214738,1989,81.66945023376972,247.387,9.09,Fed. Res.,1956.041666666664,14.459313609467454,PHCPI,1989,,ENR,1956.041666666664,26.8,BLS,,1989,121.1
1956.1249999999973,115.04738518083417,1990,79.63498843103021,250.181,8.21,Fed. Res.,1956.1249999999973,14.409625246548325,PHCPI,1990,,ENR,1956.1249999999973,26.8,BLS,,1990,127.4
1956.2083333333305,114.65067005952096,1991,76.74207453599819,253.53,8.09,Fed. Res.,1956.2083333333305,14.359936883629192,PHCPI,1991,,ENR,1956.2083333333305,26.8,BLS,,1991,134.6
1956.2916666666638,113.6974722649406,1992,77.05381962620804,256.922,7.03,Fed. Res.,1956.2916666666638,14.293685733070348,PHCPI,1992,,ENR,1956.2916666666638,26.9,BLS,,1992,138.1
1956.374999999997,113.40762934607285,1993,78.88788053790942,260.282,6.6,Fed. Res.,1956.374999999997,14.31024852071006,PHCPI,1993,,ENR,1956.374999999997,27,BLS,,1993,142.6
1956.4583333333303,113.74639294476287,1994,79.89887108940512,263.455,5.75,Fed. Res.,1956.4583333333303,14.459313609467454,PHCPI,1994,,ENR,1956.4583333333303,27.2,BLS,,1994,146.2
1956.5416666666636,113.82152580354028,1995,77.74430980443364,266.588,7.78,Fed. Res.,1956.5416666666636,14.575253122945432,PHCPI,1995,,ENR,1956.5416666666636,27.4,BLS,,1995,150.3
1956.6249999999968,115.01735302268835,1996,77.89285948266286,269.714,5.65,Fed. Res.,1956.6249999999968,14.674629848783695,PHCPI,1996,,ENR,1956.6249999999968,27.3,BLS,,1996,154.4
1956.70833333333,114.46823901833315,1997,79.39146428733092,272.958,6.58,Fed. Res.,1956.70833333333,14.658067061143987,PHCPI,1997,,ENR,1956.70833333333,27.4,BLS,,1997,159.1
1956.7916666666633,113.9231185703732,1998,78.79060548990577,276.154,5.54,Fed. Res.,1956.7916666666633,14.641504273504275,PHCPI,1998,,ENR,1956.7916666666633,27.5,BLS,,1998,161.6
1956.8749999999966,113.66537395822303,1999,78.98128130837776,279.328,4.72,Fed. Res.,1956.8749999999966,14.608378698224854,PHCPI,1999,,ENR,1956.8749999999966,27.5,BLS,,1999,164.3
1956.9583333333298,113.38194827058688,2000,78.72200104739596,282.398,6.66,Fed. Res.,1956.9583333333298,14.624941485864563,PHCPI,2000,,ENR,1956.9583333333298,27.6,BLS,,2000,168.8
1957.041666666663,113.76716440287652,2001,76.6401606998153,285.225,5.16,Fed. Res.,1957.041666666663,14.674629848783695,PHCPI,2001,,ENR,1957.041666666663,27.6,BLS,,2001,175.1
1957.1249999999964,114.37998717891374,2002,76.81353949728835,287.955,5.04,Fed. Res.,1957.1249999999964,14.807132149901381,PHCPI,2002,,ENR,1957.1249999999964,27.7,BLS,,2002,177.1
1957.2083333333296,113.96854837611187,2003,76.31543515929664,290.626,4.05,Fed. Res.,1957.2083333333296,14.807132149901381,PHCPI,2003,,ENR,1957.2083333333296,27.8,BLS,,2003,181.7
1957.2916666666629,114.32220700208958,2004,80.77302578850316,293.262,4.15,Fed. Res.,1957.2916666666629,14.906508875739647,PHCPI,2004,,ENR,1957.2916666666629,27.9,BLS,,2004,185.2
1957.3749999999961,114.29362645033903,2005,82.7948477196798,295.993,4.22,Fed. Res.,1957.3749999999961,14.956197238658776,PHCPI,2005,,ENR,1957.3749999999961,28,BLS,,2005,190.7
1957.4583333333294,113.50852581346261,2006,82.72701137236604,298.818,4.42,Fed. Res.,1957.4583333333294,14.906508875739647,PHCPI,2006,,ENR,1957.4583333333294,28.1,BLS,,2006,198.3
1957.5416666666626,112.70634541902118,2007,83.19660676053614,301.696,4.76,Fed. Res.,1957.5416666666626,14.906508875739647,PHCPI,2007,,ENR,1957.5416666666626,28.3,BLS,,2007,202.416
1957.624999999996,112.70634541902118,2008,83.40664496222462,304.543,3.74,Fed. Res.,1957.624999999996,14.906508875739647,PHCPI,2008,,ENR,1957.624999999996,28.3,BLS,,2008,211.18
1957.7083333333292,113.08203323708454,2009,84.80835495034087,307.24,2.52,Fed. Res.,1957.7083333333292,14.956197238658776,PHCPI,2009,,ENR,1957.7083333333292,28.3,BLS,,2009,211.143
1957.7916666666624,113.70817960052356,2010,84.61393100421171,309.774,3.73,Fed. Res.,1957.7916666666624,15.039011176857331,PHCPI,2010,,ENR,1957.7916666666624,28.3,BLS,,2010,216.687
1957.8749999999957,113.30779868643724,2011,86.23908799805521,312.01,3.39,Fed. Res.,1957.8749999999957,15.039011176857331,PHCPI,2011,,ENR,1957.8749999999957,28.4,BLS,,2011,220.223
1957.958333333329,113.18301036189271,2012,85.70969790261492,314.212,1.97,Fed. Res.,1957.958333333329,15.02244838921762,PHCPI,2012,,ENR,1957.958333333329,28.4,BLS,,2012,226.665
1958.0416666666622,112.51543645786073,2013,86.05996591094542,316.357,1.91,Fed. Res.,1958.0416666666622,15.039011176857331,PHCPI,2013,,ENR,1958.0416666666622,28.6,BLS,,2013,230.28
1958.1249999999955,112.51543645786073,2014,86.4719099015269,318.631,2.86,Fed. Res.,1958.1249999999955,15.039011176857331,PHCPI,2014,,ENR,1958.1249999999955,28.6,BLS,,2014,233.916
1958.2083333333287,112.71852048719914,2015,88.5253969618946,320.918,1.88,Fed. Res.,1958.2083333333287,15.171513477975017,PHCPI,2015,,ENR,1958.2083333333287,28.8,BLS,,2015,233.707
1958.291666666662,112.57374971852822,2016,89.68778675876901,323.186,2.09,Fed. Res.,1958.291666666662,15.204639053254438,PHCPI,2016,,ENR,1958.291666666662,28.9,BLS,,2016,236.916
1958.3749999999952,112.81900843251195,2017,90.36073941903936,325.22,2.43,Fed. Res.,1958.3749999999952,15.237764628533862,PHCPI,2017,,ENR,1958.3749999999952,28.9,BLS,,2017,242.839
1958.4583333333285,112.20586164755264,2018,91.54231445297103,326.949,2.58,Fed. Res.,1958.4583333333285,15.154950690335308,PHCPI,2018,,ENR,1958.4583333333285,28.9,BLS,,2018,247.867
1958.5416666666617,111.81894488325074,2019,91.45667336489834,328.527,2.71,Fed. Res.,1958.5416666666617,15.154950690335308,PHCPI,2019,,ENR,1958.5416666666617,29,BLS,,2019,251.712
1958.624999999995,112.08323229056077,2020,91.0862192983499,330.152,1.76,Fed. Res.,1958.624999999995,15.138387902695596,PHCPI,2020,,ENR,1958.624999999995,28.9,BLS,,2020,257.971
1958.7083333333283,111.7153442195852,2021,100.56579278947231,332.351,1.08,Fed. Res.,1958.7083333333283,15.088699539776464,PHCPI,2021,,ENR,1958.7083333333283,28.9,BLS,,2021,261.582
1958.7916666666615,111.59271486259333,2022,106.17447808992164,333.595,1.76,Fed. Res.,1958.7916666666615,15.072136752136753,PHCPI,2022,,ENR,1958.7916666666615,28.9,BLS,,2022,281.148
1958.8749999999948,111.45232539183023,2023,100.41861648269577,,3.53,Fed. Res.,1958.8749999999948,15.105262327416176,PHCPI,2023,,ENR,1958.8749999999948,29,BLS,,2023,299.17
1958.958333333328,111.96060293356891,,,,,,1958.958333333328,15.121825115055884,PHCPI,,,,1958.958333333328,28.9,BLS,,,
1959.0416666666613,111.33011889469006,,,,,,1959.0416666666613,15.088699539776464,PHCPI,,,,1959.0416666666613,29,BLS,,,
1959.1249999999945,111.59271486259333,,,,,,1959.1249999999945,15.072136752136753,PHCPI,,,,1959.1249999999945,28.9,BLS,,,
1959.2083333333278,111.59271486259333,,,,,,1959.2083333333278,15.072136752136753,PHCPI,,,,1959.2083333333278,28.9,BLS,,,
1959.291666666661,111.20791239754989,,,,,,1959.291666666661,15.072136752136753,PHCPI,,,,1959.291666666661,29,BLS,,,
1959.3749999999943,111.69673838611055,,,,,,1959.3749999999943,15.138387902695596,PHCPI,,,,1959.3749999999943,29,BLS,,,
1959.4583333333276,111.31290079715484,,,,,,1959.4583333333276,15.138387902695596,PHCPI,,,,1959.4583333333276,29.1,BLS,,,
1959.5416666666608,110.56758383376754,,,,,,1959.5416666666608,15.088699539776464,PHCPI,,,,1959.5416666666608,29.2,BLS,,,
1959.624999999994,110.44621436742969,,,,,,1959.624999999994,15.072136752136753,PHCPI,,,,1959.624999999994,29.2,BLS,,,
1959.7083333333273,110.31117530249408,,,,,,1959.7083333333273,15.105262327416176,PHCPI,,,,1959.7083333333273,29.3,BLS,,,
